base,day,contracts,percent
Cobyser,125,67,0.925
Cobyser,126,63,0.8698
Cobyser,127,51,0.7041
Cobyser,128,31,0.428
Cobyser,129,71,0.9803
Cobyser,130,47,0.6489
Cobyser,131,40,0.5523
Cobyser,132,60,0.8284
Cobyser,133,65,0.8974
Cobyser,134,59,0.8146
Cobyser,135,36,0.497
Cobyser,136,67,0.925
Cobyser,137,61,0.8422
Cobyser,138,65,0.8974
Cobyser,139,68,0.9388
Cobyser,140,71,0.9803
Cobyser,141,62,0.856
Cobyser,142,39,0.5385
Cobyser,143,69,0.9526
Cobyser,144,50,0.6903
Cobyser,145,41,0.5661
Cobyser,146,42,0.5799
Cobyser,147,49,0.6765
Cobyser,148,49,0.6765
Cobyser,149,27,0.3728
Cobyser,150,59,0.8146
Cobyser,151,54,0.7455
Cobyser,152,39,0.5385
Cobyser,153,44,0.6075
Cobyser,154,64,0.8836
Cobyser,155,55,0.7594
Cobyser,156,29,0.4004
Cobyser,157,65,0.8974
Cobyser,158,44,0.6075
Cobyser,159,35,0.4832
Cobyser,160,50,0.6903
Cobyser,161,47,0.6489
Cobyser,162,45,0.6213
Cobyser,163,41,0.5661
Cobyser,164,56,0.7732
Cobyser,165,46,0.6351
Cobyser,166,38,0.5246
Cobyser,167,51,0.7041
Cobyser,168,49,0.6765
Cobyser,169,53,0.7317
Cobyser,170,40,0.5523
Cobyser,171,67,0.925
Cobyser,172,61,0.8422
Cobyser,173,51,0.7041
Cobyser,174,49,0.6765
Cobyser,175,37,0.5108
Cobyser,176,0,0.0
Cobyser,177,0,0.0
Cobyser,178,0,0.0
Cobyser,179,0,0.0
Cobyser,180,0,0.0
Cobyser,181,0,0.0
Cobyser,182,0,0.0
Cobyser,183,0,0.0
Cobyser,184,0,0.0
Cobyser,185,0,0.0
Cobyser,186,0,0.0
Cobyser,187,0,0.0
Cobyser,188,0,0.0
Cobyser,189,0,0.0
Cobyser,190,0,0.0
Cobyser,191,0,0.0
Cobyser,192,0,0.0
Cobyser,193,0,0.0
Cobyser,194,0,0.0
Cobyser,195,0,0.0
Cobyser,196,0,0.0
Cobyser,197,0,0.0
Cobyser,198,0,0.0
Cobyser,199,0,0.0
Cobyser,200,0,0.0
Cobyser,201,0,0.0
Cobyser,202,0,0.0
Cobyser,203,0,0.0
Cobyser,204,0,0.0
Cobyser,205,0,0.0
Cobyser,206,0,0.0
Cobyser,207,0,0.0
Cobyser,208,0,0.0
Cobyser,209,0,0.0
